title,long_title,bullet1,bullet2,bullet3,bullet4,bullet5,visible,color,asin,categories_list,model_number,photo_url,units,price,cost_cents,length,width,height,weight,long_description,upc
"Over The Door Iron And Board Holder, White","Honey-Can-Do BRD-01233 Over The Door Iron And Board Holder, White","Stores ironing board and iron in one convenient spot, perfect for home use","Top bracket holds Iron, bottom holds the ironing board","Dual iron and ironing board holder has 6-inch long bracket to mount over the door, no tools or hardware required","Works with doors up to 1.75-inches thick, unit comes fully assembled",Steel hooks at bottom of unit compatible with both t-leg and dual leg ironing boards,TRUE,White,B005NIC0YI,Ironing-Boards,BRD-01233,https://s3.amazonaws.com/store_engine/small/BRD-01233_450px.jpg,1,2998,1160,11.75,2.75,4.125,2.4,"Honey-Can-Do BRD-01233 Over The Door Iron And Board Holder, White. Stores ironing board and iron in one convenient spot, perfect for home use. Top bracket holds Iron, bottom holds the ironing board. Dual iron and ironing board holder has 6-inch long bracket to mount over the door, no tools or hardware required. Works with doors up to 1.75-inches thick, unit comes fully assembled. Steel hooks at bottom of unit compatible with both t-leg and dual leg ironing boards",811434012336
Folding Table Top/Counter Top Ironing Board,"Honey-Can-Do BRD-01292 Folding Table Top/Counter Top Ironing Board, 16.54H x3.2W",Folds in half- easy storage,Compact and portable- iron even in small spaces,Iron rest- prevents scorching,Limited lifetime warranty,Item dimensions: 32l x12w-inches,TRUE,,B001F51A2Q,Ironing-Boards,BRD-01292,https://s3.amazonaws.com/store_engine/small/BRD-01292_450px.jpg,1,5998,2370,12.4,3.2,16.54,1.95,"Honey-Can-Do BRD-01292 Folding Table Top/Counter Top Ironing Board, 16.54H x3.2W. Folds in half- easy storage. Compact and portable- iron even in small spaces. Iron rest- prevents scorching. Limited lifetime warranty. Item dimensions: 32l x12w-inches",811434012923
Table Top Ironing Board,"Honey-Can-Do BRD-01293 Table Top Ironing Board, 31.5H x1.2W",Compact and portable- iron even in small spaces,Folds flat- easy storage,100-percent cotton cover,Limited lifetime warranty,Item dimensions: 31l x12w-inch,TRUE,,B001F51A30,Ironing-Boards,BRD-01293,https://s3.amazonaws.com/store_engine/small/BRD-01293_450px.jpg,1,2998,1160,12.6,1.2,31.5,2.26,"Honey-Can-Do BRD-01293 Table Top Ironing Board, 31.5H x1.2W. Compact and portable- iron even in small spaces. Folds flat- easy storage. 100-percent cotton cover. Limited lifetime warranty. Item dimensions: 31l x12w-inch",811434012930
Table Top Ironing Board With Iron Rest,"Honey-Can-Do BRD-01294 Table Top Ironing Board With Iron Rest, 1.5H x12.5W",Deluxe tabletop ironing board is durable enough for the toughest ironing tasks,Compact for easy storage and travel,Designed with iron rest,Includes pad and cover,Item dimensions: 32l x12w-inches,TRUE,,B001F51A3A,Ironing-Boards,BRD-01294,https://s3.amazonaws.com/store_engine/small/BRD-01294_450px.jpg,1,5798,2320,40.5,12.5,1.5,1.16,"Honey-Can-Do BRD-01294 Table Top Ironing Board With Iron Rest, 1.5H x12.5W. Deluxe tabletop ironing board is durable enough for the toughest ironing tasks. Compact for easy storage and travel. Designed with iron rest. Includes pad and cover. Item dimensions: 32l x12w-inches",811434012947
Basic Ironing Board,"Honey-Can-Do BRD-01295 Basic Ironing Board, 55.51H x13.39W",Folds flat- easy storage,Steel frame- sturdy and rust-resistant,100-percent cotton cover,Limited lifetime warranty,Item dimensions: 54l x13w-inch,TRUE,,B001F51A3K,Ironing-Boards,BRD-01295,https://s3.amazonaws.com/store_engine/small/BRD-01295_450px.jpg,1,10998,4324,2.4,13.39,55.51,3.67,"Honey-Can-Do BRD-01295 Basic Ironing Board, 55.51H x13.39W. Folds flat- easy storage. Steel frame- sturdy and rust-resistant. 100-percent cotton cover. Limited lifetime warranty. Item dimensions: 54l x13w-inch",811434012954
Ironing Board With Iron Rest,"Honey-Can-Do BRD-01296 Ironing Board With Iron Rest, 54L x 13W ",Features an iron rest to prevent scorching,Folds flat for easy storage,"Constructed with sturdy, rust-resistant steel frame",Equipped with an attractive cover with built-in pad,Item dimensions: 54l x13w-inch,TRUE,,B001F51A3U,Ironing-Boards,BRD-01296,https://s3.amazonaws.com/store_engine/small/BRD-01296_450px.jpg,1,11798,4694,61.75,13.39,2.5,4.12,"Honey-Can-Do BRD-01296 Ironing Board With Iron Rest, 54L x 13W . Features an iron rest to prevent scorching. Folds flat for easy storage. Constructed with sturdy, rust-resistant steel frame. Equipped with an attractive cover with built-in pad. Item dimensions: 54l x13w-inch",811434012961
Over The Door Ironing Board,Honey-Can-Do BRD-01350 Over The Door Ironing Board,Folding design- space saving storage,Steel frame: sturdy and rust-resistant,100-percent cotton cover,Limited lifetime warranty,Item dimensions: 54x13-inch,TRUE,,B001F51A44,Ironing-Boards,BRD-01350,https://s3.amazonaws.com/store_engine/small/BRD-01350_450px.jpg,1,9998,3956,50,18.2,2.5,3.38,Honey-Can-Do BRD-01350 Over The Door Ironing Board. Folding design- space saving storage. Steel frame: sturdy and rust-resistant. 100-percent cotton cover. Limited lifetime warranty. Item dimensions: 54x13-inch,811434013500
Metal Ironing Board with Rest,"Honey-Can-Do BRD-01405 Metal Ironing Board with Rest, 64.5H x15W","Adjustable height, 26-inch-36-inch",Has iron rest for safe ironing,Sturdy steel frame,Durable cotton cover and pad,Rust resistant,TRUE,,B005G6TIQU,Ironing-Boards,BRD-01405,https://s3.amazonaws.com/store_engine/small/BRD-01405_450px.jpg,1,12798,5064,2.25,15,64.5,3.86,"Honey-Can-Do BRD-01405 Metal Ironing Board with Rest, 64.5H x15W. Adjustable height, 26-inch-36-inch. Has iron rest for safe ironing. Sturdy steel frame. Durable cotton cover and pad. Rust resistant",811434014057
Metal Ironing Board,"Honey-Can-Do BRD-01406 Metal Ironing Board, 55H x15W","Adjustable height, 26-inch-36-inch",Adjustable height,Sturdy steel frame,Durable cotton cover and pad,Rust resistant,TRUE,,B005G6TIEM,Ironing-Boards,BRD-01406,https://s3.amazonaws.com/store_engine/small/BRD-01406_450px.jpg,1,12598,5030,2.25,15,55,3.63,"Honey-Can-Do BRD-01406 Metal Ironing Board, 55H x15W. Adjustable height, 26-inch-36-inch. Adjustable height. Sturdy steel frame. Durable cotton cover and pad. Rust resistant",811434014064
Ironing Board Metal T-Leg With Iron Rest,"Honey-Can-Do BRD-01407 Ironing Board Metal T-Leg With Iron Rest, 4H x14W","Adjustable height 26-36in, versatile ironing levels","Retractable iron rest, safe and convenient ironing","Steel frame and mesh deck, sturdy and rust resistant",100% cotton cover, underlay foam- polyester fiber felt pad,TRUE,,B006XL1BNA,Ironing-Boards,BRD-01407,https://s3.amazonaws.com/store_engine/small/BRD-01407_450px.jpg,1,11998,4740,62.5,14,4,4.08,"Honey-Can-Do BRD-01407 Ironing Board Metal T-Leg With Iron Rest, 4H x14W. Adjustable height 26-36in, versatile ironing levels. Retractable iron rest, safe and convenient ironing. Steel frame and mesh deck, sturdy and rust resistant. 100% cotton cover.  underlay foam- polyester fiber felt pad",811434014071
Ironing Board Metal T-Leg With Iron Rest,"Honey-Can-Do BRD-01408 Ironing Board Metal T-Leg With Iron Rest, 59.62H x13W","Adjustable height 28-36in, versatile ironing levels",Non-slip legs prevent slipping,"Steel frame and mesh deck, sturdy and rust resistant",100% cotton cover, underlay foam- polyester fiber felt pad,TRUE,,B006XL1BRG,Ironing-Boards,BRD-01408,https://s3.amazonaws.com/store_engine/small/BRD-01408_450px.jpg,1,10998,4386,2,13,59.62,3.91,"Honey-Can-Do BRD-01408 Ironing Board Metal T-Leg With Iron Rest, 59.62H x13W. Adjustable height 28-36in, versatile ironing levels. Non-slip legs prevent slipping. Steel frame and mesh deck, sturdy and rust resistant. 100% cotton cover.  underlay foam- polyester fiber felt pad",811434014088
tabletop ironing board with retractable iron rest,"Honey-Can-Do BRD-01435 tabletop ironing board with retractable iron rest, 1.5H x12.5W",Compact and portable,Retractable iron rest,Folds flat,Cotton cover and foam pad,Size: 31l x 12w-inches,TRUE,,B0049U49SG,Ironing-Boards,BRD-01435,https://s3.amazonaws.com/store_engine/small/BRD-01435_450px.jpg,1,4398,1684,40.5,12.5,1.5,2.18,"Honey-Can-Do BRD-01435 tabletop ironing board with retractable iron rest, 1.5H x12.5W. Compact and portable. Retractable iron rest. Folds flat. Cotton cover and foam pad. Size: 31l x 12w-inches",811434014354
4 Leg Ironing Board with retractable iron rest,"Honey-Can-Do BRD-01956 4 Leg Ironing Board with retractable iron rest, 56H x15W","Adjustable height, 29-inch to 36-inch",Retractable iron rest,Steel quad-leg frame,Cotton cover and foam pad,"Blue stripped cover, white steel frame",TRUE,,B004XGD9SM,Ironing-Boards,BRD-01956,https://s3.amazonaws.com/store_engine/small/BRD-01956_450px.jpg,1,13198,5274,2.5,15,56,4.49,"Honey-Can-Do BRD-01956 4 Leg Ironing Board with retractable iron rest, 56H x15W. Adjustable height, 29-inch to 36-inch. Retractable iron rest. Steel quad-leg frame. Cotton cover and foam pad. Blue stripped cover, white steel frame",811434019564
4 Leg HD Ironing Board with Iron Rest,"Honey-Can-Do BRD-01957 4 Leg HD Ironing Board with Iron Rest, 68H x15.25W","Adjustable height, 29-inch to 36-inch",Convenient sweater shelf,Steel quad-leg frame,Cotton cover and fiber pad,"Blue and white stripped cover, bronze finish on steel frame",TRUE,,B004XGD9VE,Ironing-Boards,BRD-01957,https://s3.amazonaws.com/store_engine/small/BRD-01957_450px.jpg,1,17398,6910,2.75,15.25,68,6.35,"Honey-Can-Do BRD-01957 4 Leg HD Ironing Board with Iron Rest, 68H x15.25W. Adjustable height, 29-inch to 36-inch. Convenient sweater shelf. Steel quad-leg frame. Cotton cover and fiber pad. Blue and white stripped cover, bronze finish on steel frame",811434019571
"Spray Bottle, Yellow","Honey-Can-Do BRD-02933 Spray Bottle, Yellow, 8-Ounce",Perfect for general household usage,"Spray nozzle is adjustable, select mist or spray-action",8-ounce capacity spray bottle,Durable high impact plastic resistant to breakage,"Product dimensions 6.75"" h x 4.5"" d x 2.75"" diameter",TRUE,Yellow,B009LFQ4RS,Ironing-Boards,BRD-02933,https://s3.amazonaws.com/store_engine/small/BRD-02933_450px.jpg,1,998,196,4.5,2.75,6.75,1.18,"Honey-Can-Do BRD-02933 Spray Bottle, Yellow, 8-Ounce. Perfect for general household usage. Spray nozzle is adjustable, select mist or spray-action. 8-ounce capacity spray bottle. Durable high impact plastic resistant to breakage. Product dimensions 6.75"" h x 4.5"" d x 2.75"" diameter",847539029337
"Spray Bottle, Blue","Honey-Can-Do BRD-02934 Spray Bottle, Blue, 8-Ounce",Perfect for general household usage,"Spray nozzle is adjustable, select mist or spray-action",8-ounce capacity spray bottle,Durable high impact plastic resistant to breakage,"Product dimensions 6.75"" h x 4.5"" d x 2.75"" diameter",TRUE,Blue,B009LFQ4UK,Ironing-Boards,BRD-02934,https://s3.amazonaws.com/store_engine/small/BRD-02934_450px.jpg,1,998,196,4.5,2.75,6.75,1.18,"Honey-Can-Do BRD-02934 Spray Bottle, Blue, 8-Ounce. Perfect for general household usage. Spray nozzle is adjustable, select mist or spray-action. 8-ounce capacity spray bottle. Durable high impact plastic resistant to breakage. Product dimensions 6.75"" h x 4.5"" d x 2.75"" diameter",847539029344
Ironing Board with Rest and Shelf,"Honey-Can-Do BRD-02955 Ironing Board with Rest and Shelf, 18 x 48",Folds flat when not in use,Compact enough to fit inside of cabinet or suitcase,Featuring small iron rest for improved safety and convenience,Built-in wire shelf for other clothing garments while ironing,Adjustable height up to  25.5-inches with overall height of 35.5-inches,TRUE,,B009LFQ4U0,Ironing-Boards,BRD-02955,https://s3.amazonaws.com/store_engine/small/BRD-02955_450px.jpg,1,20998,8332,62,18,4,2.34,"Honey-Can-Do BRD-02955 Ironing Board with Rest and Shelf, 18 x 48. Folds flat when not in use. Compact enough to fit inside of cabinet or suitcase. Featuring small iron rest for improved safety and convenience. Built-in wire shelf for other clothing garments while ironing. Adjustable height up to  25.5-inches with overall height of 35.5-inches",847539029559
Deluxe Fixed Mount TV Bracket,"Honey-Can-Do BRK-01507 Deluxe Fixed Mount TV Bracket, 30 to 60-inches","Adjustable for 26""-42"" flat screen tv",Heavy duty steel frame,Universal mounting pattern,Holds up to 165 lbs.,Angled viewing,TRUE,,B0049U49RW,TV-Mounting-Brackets,BRK-01507,https://s3.amazonaws.com/store_engine/small/BRK-01507_450px.jpg,1,18598,7430,26,3,8,5.9,"Honey-Can-Do BRK-01507 Deluxe Fixed Mount TV Bracket, 30 to 60-inches. Adjustable for 26""-42"" flat screen tv. Heavy duty steel frame. Universal mounting pattern. Holds up to 165 lbs.. Angled viewing",811434015078
Swing Mount Flat Panel TV Bracket,"Honey-Can-Do BRK-01508 Swing Mount Flat Panel TV Bracket, 26 to 42-inches","Adjustable for 26""-42"" flat screen tv",Heavy duty steel frame,Universal mounting pattern,Holds up to 90 lbs.,Angled viewing,TRUE,,B0049U49R2,TV-Mounting-Brackets,BRK-01508,https://s3.amazonaws.com/store_engine/small/BRK-01508_450px.jpg,1,27598,11026,6.15,10,19.25,10.66,"Honey-Can-Do BRK-01508 Swing Mount Flat Panel TV Bracket, 26 to 42-inches. Adjustable for 26""-42"" flat screen tv. Heavy duty steel frame. Universal mounting pattern. Holds up to 90 lbs.. Angled viewing",811434015085
Deluxe Swing Mount Flat Panel TV Bracket,"Honey-Can-Do BRK-01509 Deluxe Swing Mount Flat Panel TV Bracket, 30 to 60-inches","Adjustable for 30""-60"" flat screen tv",Heavy duty steel frame,Universal mounting pattern,Holds up to 132 lbs.,Angled viewing,TRUE,,B0049U49S6,TV-Mounting-Brackets,BRK-01509,https://s3.amazonaws.com/store_engine/small/BRK-01509_450px.jpg,1,42998,17120,6.75,34.5,10.5,15.88,"Honey-Can-Do BRK-01509 Deluxe Swing Mount Flat Panel TV Bracket, 30 to 60-inches. Adjustable for 30""-60"" flat screen tv. Heavy duty steel frame. Universal mounting pattern. Holds up to 132 lbs.. Angled viewing",811434015092
Fixed Mount TV Bracket,"Honey-Can-Do BRK-01510 Fixed Mount TV Bracket, 26 to 42-inches","Adjustable for 26""-42"" flat screen tv",Heavy duty steel frame,Space saver,Holds up to 90 lbs.,Tv mounts made easy,TRUE,,B0049U49QI,TV-Mounting-Brackets,BRK-01510,https://s3.amazonaws.com/store_engine/small/BRK-01510_450px.jpg,1,10798,4246,3.5,6.25,19.25,4.13,"Honey-Can-Do BRK-01510 Fixed Mount TV Bracket, 26 to 42-inches. Adjustable for 26""-42"" flat screen tv. Heavy duty steel frame. Space saver. Holds up to 90 lbs.. Tv mounts made easy",811434015108
"Laundry Cart, White","Honey-Can-Do CRT-01149 Laundry Cart, White, 3-Tier",3 tier cart on heavy-duty wheels easily stores and moves washing and drying essentials throughout the laundry room,"Great for detergent, fabric softener, clothespins, dryer spheres and more",Wheels allow easy mobility throughout your laundry room and other areas,Durable steel construction with a space-age white epoxy,Item dimensions: 24x8x32-inch,TRUE,White,B001F51ALW,Carts,CRT-01149,https://s3.amazonaws.com/store_engine/small/CRT-01149_450px.jpg,1,5398,2104,8.46,30.12,3.74,2.2,"Honey-Can-Do CRT-01149 Laundry Cart, White, 3-Tier. 3 tier cart on heavy-duty wheels easily stores and moves washing and drying essentials throughout the laundry room. Great for detergent, fabric softener, clothespins, dryer spheres and more. Wheels allow easy mobility throughout your laundry room and other areas. Durable steel construction with a space-age white epoxy. Item dimensions: 24x8x32-inch",811434011490
All-Purpose Cart,"Honey-Can-Do CRT-01383 All-Purpose Cart, 2-Tier",Holds up to 50-pound,Folds flat for easy storage,The perfect laundry room helper!,Home organization made easy,Sturdy steel frame with rubber grip,TRUE,,B0027IS78K,Carts,CRT-01383,https://s3.amazonaws.com/store_engine/small/CRT-01383_450px.jpg,1,10198,4000,3,16,28.5,4.4,"Honey-Can-Do CRT-01383 All-Purpose Cart, 2-Tier. Holds up to 50-pound. Folds flat for easy storage. The perfect laundry room helper!. Home organization made easy. Sturdy steel frame with rubber grip",811434013838
Heavy Duty Urban Rolling Cart,"Honey-Can-Do CRT-01451 Heavy Duty Urban Rolling Cart, 3-Tier",400-pound load capacity,Adjustable shelves for flexible use,Durable construction,"4-inch heavy-duty casters, 2-locking","Great for organization, storage, rolling shelving",TRUE,,B0041RRPCY,Carts,CRT-01451,https://s3.amazonaws.com/store_engine/small/CRT-01451_450px.jpg,1,33398,13298,10,19,25,15.42,"Honey-Can-Do CRT-01451 Heavy Duty Urban Rolling Cart, 3-Tier. 400-pound load capacity. Adjustable shelves for flexible use. Durable construction. 4-inch heavy-duty casters, 2-locking. Great for organization, storage, rolling shelving",811434014514
Rolling 4 Wheel Utility Cart,"Honey-Can-Do CRT-01511 Rolling 4 Wheel Utility Cart, 3H x16W","Medium-sized folding cart in black--great for grocery shopping, transporting the laundry, and more",Sturdy steel frame coated with a highly durable finish; rubber grip on handle; 4 rubber wheels for smooth rolling and great stability,Can carry up to 50 pounds; weighs just 6-3/4 pounds,Folds flat for easy storage and transport; four wheels,Measures 19 by 14 by 38-inches (wxdxh) when unfolded,TRUE,,B002M3SP14,Carts,CRT-01511,https://s3.amazonaws.com/store_engine/small/CRT-01511_450px.jpg,1,7598,2978,36,16,3,3.4,"Honey-Can-Do CRT-01511 Rolling 4 Wheel Utility Cart, 3H x16W. Medium-sized folding cart in black--great for grocery shopping, transporting the laundry, and more. Sturdy steel frame coated with a highly durable finish; rubber grip on handle; 4 rubber wheels for smooth rolling and great stability. Can carry up to 50 pounds; weighs just 6-3/4 pounds. Folds flat for easy storage and transport; four wheels. Measures 19 by 14 by 38-inches (wxdxh) when unfolded",811434015115
Hanging File Cart,"Honey-Can-Do CRT-01512 Hanging File Cart, 28.74H x10.04W",Perforated metal base supports heavy files,Hanging folders not included,Mobile filing cart with five pull-out drawers,"Smooth rolling casters, easily move cart where needed","Five pull-out drawers, conveniently store paper and supplies",TRUE,,B006239NS4,Carts,CRT-01512,https://s3.amazonaws.com/store_engine/small/CRT-01512_450px.jpg,1,22398,8946,11.5,10.04,28.74,7.77,"Honey-Can-Do CRT-01512 Hanging File Cart, 28.74H x10.04W. Perforated metal base supports heavy files. Hanging folders not included. Mobile filing cart with five pull-out drawers. Smooth rolling casters, easily move cart where needed. Five pull-out drawers, conveniently store paper and supplies",811434015122
4 Wheel Utility Cart,"Honey-Can-Do CRT-01513 4 Wheel Utility Cart, 2H x15W","Large-sized folding cart in white--great for grocery shopping, transporting the laundry, and more",Sturdy steel frame coated with a highly durable finish; rubber grip on handle; 4 rubber wheels for smooth rolling and great stability,Can carry up to 50 pounds; weighs just 9.7 pounds,Folds flat for easy storage and transport; four wheels,Measures 17 by 21 by 37-inches (wxdxh) when unfolded,TRUE,,B002M3SP2I,Carts,CRT-01513,https://s3.amazonaws.com/store_engine/small/CRT-01513_450px.jpg,1,8198,3280,35,15,2,3.63,"Honey-Can-Do CRT-01513 4 Wheel Utility Cart, 2H x15W. Large-sized folding cart in white--great for grocery shopping, transporting the laundry, and more. Sturdy steel frame coated with a highly durable finish; rubber grip on handle; 4 rubber wheels for smooth rolling and great stability. Can carry up to 50 pounds; weighs just 9.7 pounds. Folds flat for easy storage and transport; four wheels. Measures 17 by 21 by 37-inches (wxdxh) when unfolded",811434015139
Dual Wheel Utility Cart,"Honey-Can-Do CRT-01640 Dual Wheel Utility Cart, 43H x20W",Folds flat when not in use,"Dual front wheels, easy to turn",Durable steel frame,Large back wheels roll over terrain easier than before,"Great for organization, storage, rolling shelving",TRUE,,B003V1B6RQ,Carts,CRT-01640,https://s3.amazonaws.com/store_engine/small/CRT-01640_450px.jpg,1,12598,4962,4,20,43,4.58,"Honey-Can-Do CRT-01640 Dual Wheel Utility Cart, 43H x20W. Folds flat when not in use. Dual front wheels, easy to turn. Durable steel frame. Large back wheels roll over terrain easier than before. Great for organization, storage, rolling shelving",811434016402
